SNname,type,ExplosionDate,R,Reference,Method,
,don't worry about type Ia,,,,,
,II -- Jack - top   Adrian -- bottom,"MJD if given, otherwise date",,link to ads reference,,
,Ib -- Thomas,,,,,
,Ic -- Macie,,,,,
,,,,,,
SN2011dh,IIb,55712.5,Arcavi_etal_2011,,,
SN2011de,Ia,,,,,
SN2011cj,IIP,,,,,
SN2011cb,IIb,,,,,
SN2011by,Ia,55672,Nugent_etal_2011,,,
SN2011bl,Ib/c,55656,Green_etal_2011,http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002694.txt,"spec was 10 days before peak assumed to be 14 days after explosion, pushed two days earlier to be just before discovery",
SN2011ay,Ia-99aa?02cx?,,,,,
SN2011at,Ia,,,,,
SN2011ao,Ia,,,,,
SN2011am,Ib,,,,,
SN2011aa,Ia,,,,,
SN2011M,Ia,,,,,
SN2011B,Ia,,,,,
LSQ11ot,Ia,,,,,
PTF11qax,II,,,,,
PTF11rks,SLSN-I,,,,,
PTF11dsf,SLSN-II,,,,,
PTF11qcj,Ic-BL,MJD 55842,"
Palliyaguru_etal_2021",https://ui.adsabs.harvard.edu/abs/2021arXiv210100128P/abstract,,
SN2010md,SLSN-I,,,,,
SN2010mb,Ic-PI?,MJD 55273,Ben-Ami_etal_2014,https://ui.adsabs.harvard.edu/abs/2014ApJ...785...37B/abstract,,
SN2010ko,Ia,,,,,
SN2010kg,Ia,,,,,
SN2010kd,SLSN-I,,,,,
SN2010jr,IIb,,,,,
SN2010jp,IIn,,,,,
SN2010jn,Ia,,,,,
SN2010jl,IIn,55470,Stoll et al. 2011,,ten days before first observation,
SN2010ih,Ia,,,,,
SN2010id,II,,,,,
SN2010hq,IIP,,,,,
SN2010hh,Ia,,,,,
SN2010gx,SLSN-I,,,,,
SN2010gs,II,,,,,
SN2010gp,Ia,,,,,
SN2010gn,Ia,,,,,
SN2010fy,Ia,,,,,
SN2010ev,Ia,,,,,
SN2010el,Ia-p,,,,,
SN2010dv,?,,,,,
SN2010dn,LBV,,,,,
SN2010da,LBV,,,,,
SN2010cr,Ia,,,,,
SN2010cn,IIB,update type,,,,
SN2010bv,Ia,,,,,
SN2010bt,IIn,,,,,
SN2010br,Ibc,,,,,
SN2010bj,IIP,,,,,
# no SN2010am -- mislabeled in template observations,,,,,,
SN2010al,IIn,,,,,
SN2010ah,Ic,MJD 55274,Mazzali_etal_2013,https://ui.adsabs.harvard.edu/abs/2013MNRAS.432.2463M/abstract,,
SN2010ae,Ia-p,,,,,
SN2010Y,Ia,,,,,
SN2010X,?,,,,,
SN2010U,LBV,,,,,
SN2010S,Ic,x,,,,
SN2010O,Ib,,,,,
SN2010F,II,,,,,
SN2010C,LBV,,,,,
"#SN2010B was not observed, SN2011B was misnamed in request",,,,,,
PTF10icb,Ia,,,,,
PTF10qaf,SLSN-II,,,,,
PTF10qts,Ic-BL,MJD 55424.6,Walker_etal_2014,https://ui.adsabs.harvard.edu/abs/2014MNRAS.442.2768W/abstract,,
#PTF10fqs red nova,,,,,,
PTF10abyy,II,,,,,
PTF10aagc,SLSN-I,,,,,
PTF09atu,SLSN-I,,,,,
PTF09cnd,SLSN-I,,,,,
PTF09dlc,Ia,,,,,
PTF09dnp,Ia,,,,,
SN2009mk,IIb,,,,,
SN2009mi,Ic,x,,,,
SN2009mg,IIb,,,,,
SN2009lm,IIP,,,,,
SN2009ll,IIP,,,,,
SN2009kr,IIn/L?,,,,,
SN2009jr,Ia,,,,,
